omega,a,N,depth,node_index,d,e,span_width,theta_mean,theta_std,theta_min,theta_max,minimum_cosine,minimum_sine,left_phase_summary,right_phase_summary,local_reconstruction_residual,unitarity_residual,symmetry_residual,control
nan,2,16,2,2,1,8,8,0.7331061693974068,0.4540086329754215,3.5216230478038325e-07,1.2221710689708933,0.34160608855090707,3.52162304780376e-07,0.2590862153170697,0.3820594365593238,1.5336755533121265e-15,2.8881143222437124e-15,1.6393048408346587e-16,gaussian_fourier_phase
nan,2,16,3,4,1,16,4,0.7036062515536878,0.7036060101853382,2.4136834962991616e-07,1.4072122617390261,0.16285546258591446,2.4136834962991383e-07,-0.5068187141721483,-0.5068187175214438,9.157194787613838e-16,2.8881143222437124e-15,1.6393048408346587e-16,gaussian_fourier_phase
nan,2,16,3,5,7,16,4,0.9508603606494891,0.21380383683241833,0.7370565238170708,1.1646641974819074,0.3950590504037686,0.6721113291218027,-0.5051518478807963,0.0,1.042543361886024e-15,2.8881143222437124e-15,1.6393048408346587e-16,gaussian_fourier_phase
nan,2,16,2,3,3,8,8,0.6714098131981161,0.533441638674847,3.1724462969937717e-07,1.4869450125225,0.08375308844553839,3.172446296993718e-07,0.046957279272929295,0.00949462823225767,2.5399433674189136e-15,2.8881143222437124e-15,1.6393048408346587e-16,gaussian_fourier_phase
nan,2,16,3,6,3,16,4,0.15657219625919871,0.15187730756495815,0.004694888694240587,0.30844950382415687,0.9528054172224093,0.004694871446819262,0.9723799393368495,0.0,1.0125537348546918e-15,2.8881143222437124e-15,1.6393048408346587e-16,gaussian_fourier_phase
nan,2,16,3,7,5,16,4,0.6500453886422872,0.6500452192477181,1.6939456918403923e-07,1.3000906078900052,0.2674115215525744,1.693945691840384e-07,1.1102230246251565e-16,-0.7342335903496945,9.583926350372683e-16,2.8881143222437124e-15,1.6393048408346587e-16,gaussian_fourier_phase
nan,2,16,0,0,1,2,32,1.4975204239853497,0.22831586259896014,0.6435011087932838,1.5707963267948966,6.123233995736766e-17,0.5999999999999995,0.1466597393703245,-0.048511467945555206,2.3532352379482343e-15,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,1,0,1,4,16,0.7938694835224919,0.4163358874136041,0.006365934425044746,1.2526273074992509,0.3128280025623109,0.006365891428421282,0.11687587661049528,0.19096683516691842,4.460178769752862e-15,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,2,0,1,8,8,0.9367161533799687,0.5026452648183367,0.1545730616783401,1.5543874758665397,0.016408114590021294,0.15395826524930986,0.39141381555848287,0.15007308845613307,1.6687265541603708e-15,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,3,0,1,16,4,0.7697411154654263,0.5758328907399644,0.19390822472546207,1.3455740062053907,0.22332307341681357,0.1926953361041967,-0.8666209828454197,-0.7877175748310183,8.553261076949558e-16,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,3,1,7,16,4,0.3618238342215085,0.2684969685930159,0.09332686562849254,0.6303208028145244,0.8078384674400322,0.09319144661193442,5.551115123125783e-17,0.9913833295345632,8.220217944848357e-16,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,2,1,3,8,8,0.6685497685690949,0.5060805101697475,0.0642029842686785,1.364749542643829,0.2045919137090684,0.06415888566010768,0.047306924048076786,0.39050286060337047,1.8813386399871047e-15,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,3,2,3,16,4,0.8547036986395549,0.2609646313582173,0.5937390672813375,1.115668329997772,0.43957728474023283,0.5594640696466029,0.015105939278661001,0.083282236992713,1.605866938302796e-15,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,3,3,5,16,4,0.4678085589406122,0.3884498339699277,0.07935872497068445,0.85625839291054,0.6552684437198123,0.07927545353774781,2.7755575615628914e-17,0.0,8.063436195798001e-16,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,1,1,1,4,16,0.7938694835224918,0.4163358874136042,0.006365934425044325,1.25262730749925,0.31282800256231175,0.0063658914284208615,0.1508730994958251,0.031170392627208443,2.2472746786375334e-15,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,2,2,1,8,8,0.936716153379969,0.5026452648183358,0.15457306167834148,1.5543874758665384,0.016408114590022626,0.15395826524931125,0.11777976663971804,-0.011284500805177344,1.8575225351421908e-15,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,3,4,1,16,4,0.7697411154654248,0.5758328907399629,0.1939082247254619,1.3455740062053876,0.2233230734168166,0.19269533610419654,0.7877175748310173,-0.8666209828454193,1.0247115717617005e-15,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,3,5,7,16,4,0.36182383422150677,0.26849696859301864,0.09332686562848815,0.6303208028145254,0.8078384674400316,0.09319144661193003,-0.9913833295345629,0.0,8.262763106659246e-16,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,2,3,3,8,8,0.6685497685690955,0.5060805101697479,0.06420298426867883,1.3647495426438305,0.20459191370906687,0.06415888566010801,-0.07967574291591545,-0.047293894078458514,1.5121720377558585e-15,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,3,6,3,16,4,0.8547036986395531,0.2609646313582172,0.593739067281336,1.1156683299977703,0.43957728474023444,0.5594640696466016,0.0,0.0,1.5796418737109325e-15,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,3,7,5,16,4,0.4678085589406138,0.3884498339699285,0.07935872497068525,0.8562583929105423,0.6552684437198105,0.0792754535377486,-0.44096586952153,-0.3689417428486381,6.457654300808381e-16,3.5071660937556883e-15,4.031195786016481e-17,finite_blaschke
nan,2,16,0,0,1,2,32,1.4977706076218484,0.2229583282459077,0.643501108793284,1.5707963267948966,6.123233995736766e-17,0.5999999999999998,0.1538245262046829,0.12368974854487122,3.2063755481500232e-15,3.489983109590016e-15,1.0259132733102389e-16,random_rational_allpass
