omega,a,N,symmetry_residual,lambda_min,lambda_max,spectral_radius,defect_margin,determinant_arguments_positive,logdet_plus,logdet_minus,log_m,m,quadrature,ordinary_fredholm_claim
0.8,4,128,0.0,-0.9997925877047297,0.9999471128381305,0.9999471128381305,0.00010577152668700407,True,-54.16478771722616,-60.044538761269976,5.8797510440438145,357.72017405437254,midpoint_log_grid_split-aware-kernel-sampling,True
0.65,1.05,128,0.0,-0.26357668540869883,0.5087114292112296,0.5087114292112296,0.7412126817898681,True,0.10523589460057792,-0.6870085492046982,0.7922444438052761,2.208347379705434,midpoint_log_grid_split-aware-kernel-sampling,True
0.65,1.1,128,0.0,-0.4060263903495381,0.7150215552974972,0.7150215552974972,0.4887441754599481,True,-0.06971095172303199,-1.332587735417147,1.2628767836941148,3.5355779644044,midpoint_log_grid_split-aware-kernel-sampling,True
0.65,1.25,128,0.0,-0.7040388269129315,0.956668772984088,0.956668772984088,0.08478485879711939,True,-1.032318269317212,-3.695384688147622,2.66306641883041,14.340194790992124,midpoint_log_grid_split-aware-kernel-sampling,True
0.65,1.5,128,0.0,-0.9899722412560064,0.9998213876005266,0.9998213876005266,0.00035719289655744557,True,-5.114455741469376,-10.826839100827483,5.712383359358107,302.59139357435794,midpoint_log_grid_split-aware-kernel-sampling,True
0.65,2,128,0.0,-0.9997681558934802,0.9999389279018395,0.9999389279018395,0.0001221404665199266,True,-18.063756947184984,-23.663425432958118,5.599668485773133,270.336772083287,midpoint_log_grid_split-aware-kernel-sampling,True
0.65,3,128,0.0,-0.9997889764657596,0.9999476881228567,0.9999476881228567,0.00010462101775410293,True,-39.80708865707547,-45.40596650085996,5.598877843784493,270.12311695369266,midpoint_log_grid_split-aware-kernel-sampling,True
0.65,4,128,0.0,-0.9997973766842956,0.9999489520866867,0.9999489520866867,0.00010209322073717608,True,-55.471880437820445,-61.25160555902917,5.7797251212087275,323.67020811255196,midpoint_log_grid_split-aware-kernel-sampling,True
0.55,1.05,128,0.0,-0.32368211076811737,0.5674461869063925,0.5674461869063925,0.6780048249653955,True,-0.04574527605456047,-0.9237690800761332,0.8780238040215728,2.406140000717654,midpoint_log_grid_split-aware-kernel-sampling,True
0.55,1.1,128,0.0,-0.46690060094603003,0.7557987786264737,0.7557987786264737,0.4287682062267306,True,-0.3686057232808042,-1.7169249160368407,1.3483191927560365,3.85094738770189,midpoint_log_grid_split-aware-kernel-sampling,True
