task,width,model,parameters,validation_score,effective_affine_dof,score,learning_auc,seconds,steps_to_80,steps_to_90,accuracy,normalized_mse,tail_score,tail_survival,jacobian_variability,base_only_drop,uniform_drop,mismatched_drop,up_allocation_variation,down_allocation_variation,up_correction_ratio,down_correction_ratio
ring_sdf,36,soft_eikonal,7777,0.999947069283227,,0.999947069283227,0.988513886811666,4.066181778000005,25.0,25.0,,5.293390010289537e-05,,,12.78080415725708,0.0252533841720739,0.02595753329495243,0.031036110962609793,0.037302872786919274,0.04621605947613716,0.06212892631689707,0.16749934603770575
ripple,16,ordinary_mlp,2277,0.5057758525628965,,0.5057758525628965,0.5035188590982731,0.32832266666666027,,,,0.9773305853207906,,,2.0831525723139444,,,,,,,
ripple,16,soft_eikonal,2277,0.9289050102876536,,0.9289050102876536,0.7475777939346231,3.953517027666654,400.0,608.3333333333334,,0.07660301774740219,,,6.685952345530192,0.5977935650231451,0.5766184072050226,0.7611874366256073,0.14259029428164163,0.13496394952138266,0.19860981901486716,0.7853132088979086
ripple,36,ordinary_mlp,7777,0.5071493418046079,,0.5071493418046079,0.504282263715972,0.5366409440000174,,,,0.9721676111221313,,,2.985856771469116,,,,,,,
ripple,36,soft_eikonal,7777,0.9602211070225574,,0.9602211070225574,0.7612110149362868,4.244902694333329,366.6666666666667,516.6666666666666,,0.04146469756960869,,,4.358101844787598,0.6027426563334888,0.6186364738746233,0.7758548187475465,0.1273223136862119,0.1361957142750422,0.137417862812678,0.7507249116897583
sinusoid_bounds,16,ordinary_mlp,2294,0.974269817272822,,0.974269817272822,0.9267031646271547,0.5575863059999904,25.0,100.0,0.9742857019106547,,,,11.764631430308023,,,,,,,
sinusoid_bounds,16,soft_eikonal,2294,0.9899531503518423,,0.9899531503518423,0.9579350059852004,4.249080332999995,50.0,58.333333333333336,0.9899047414461771,,,,11.03774905204773,0.15547823905944824,0.15101020534833273,0.1974395215511322,0.12006485958894093,0.13029490411281586,0.19953776399294534,0.4090210199356079
sinusoid_bounds,36,ordinary_mlp,7814,0.9874604543050131,,0.9874604543050131,0.9497425100890298,0.7262136943333246,25.0,50.0,0.9874285658200582,,,,12.719634850819906,,,,,,,
sinusoid_bounds,36,soft_eikonal,7814,0.9885950982570648,,0.9885950982570648,0.963391509950161,4.482412444666664,25.0,33.333333333333336,0.9885714252789816,,,,11.106650034586588,0.16189327836036682,0.14781007170677185,0.1638015409310659,0.09941364576419194,0.11954216659069061,0.13519943753878275,0.23847958942254385
spiral,16,ordinary_mlp,2294,0.8016709884007772,,0.32883332669734955,0.6554517932981252,0.5401242086666658,775.0,,0.32883333166440326,,0.3178888882665585,0.0,2.149309198061625,,,,,,,
spiral,16,soft_eikonal,2294,1.0,,0.3556666572888692,0.9206472974208494,3.928519153,183.33333333333334,191.66666666666666,0.3556666672229767,,0.2958888887738188,0.0,9.597747643788656,0.42885272204875946,0.42084958652655285,0.4836488217115402,0.07331504176060359,0.13811325033505759,0.16966033230225244,1.65542471408844
spiral,36,ordinary_mlp,7814,0.9833077788352966,,0.3368333379427592,0.7243695386945426,0.682971111,625.0,683.3333333333334,0.3368333379427592,,0.32399999909102917,0.0,2.185072938601176,,,,,,,
spiral,36,soft_eikonal,7814,1.0,,0.3540000021457672,0.9284721249031523,4.04965225,158.33333333333334,175.0,0.3540000021457672,,0.318444445480903,0.0,1.9211876392364502,0.41356560339530307,0.39875732858975727,0.45290932555993396,0.07214660445849101,0.13318962355454764,0.13272684315840402,1.3651175300280254
swiss_cheese,16,ordinary_mlp,2294,0.9603894352912903,,0.9603894352912903,0.8543599595564108,0.6256516946666674,283.3333333333333,341.6666666666667,0.9600000182787577,,,,4.554275035858154,,,,,,,
swiss_cheese,16,soft_eikonal,2294,0.9872448841730753,,0.9872448841730753,0.9368004451940458,4.44195727766666,100.0,116.66666666666667,0.9870476126670837,,,,10.813537756601969,0.49434377373351407,0.4872448841730754,0.4657403826713562,0.15630155305067697,0.14284667124350867,0.25949903825918835,0.9418700536092123
swiss_cheese,36,ordinary_mlp,7814,0.9663058221340179,,0.9663058221340179,0.8881410103857829,0.783034611000005,175.0,233.33333333333334,0.9660952289899191,,,,3.508502721786499,,,,,,,
swiss_cheese,36,soft_eikonal,7814,0.9873743851979574,,0.9873743851979574,0.9431640123544881,4.668138514000002,75.0,91.66666666666667,0.9874285459518433,,,,6.6400392055511475,0.47973623623450595,0.4660542840138078,0.4437253971894582,0.14503847310940424,0.13627309600512186,0.15181860824426016,0.7971896330515543
two_moons,16,ordinary_mlp,2294,0.999737948179245,,0.999737948179245,0.9781442694986859,0.5380310833333368,17.0,100.0,0.9997435808181763,,,,0.8822288314501444,,,,,,,
